,Group A:,'003,,,,Group B:,'115,,,,Group C:,'114
,,Engine Speed,Mass Air Flow,Throttle Valve Angle,Ignition,,Engine Speed,Engine Load,Boost Pressure,Boost Pressure,,Engine Load,Engine Load,Engine Load,Boost Pressure
,TIME,(G28),Sensor (G70),,Timing Angle,TIME,(G28),,(specified),(actual),TIME,(specified),(spec. corrected),(actual Value),Control (N75)
Marker,STAMP, /min, g/s, %, °BTDC,STAMP, /min, %, mbar, mbar,STAMP, %, %, %, %
,19.16,1160,8.36,7.8,11.3,19.28,1200,31.6,710.0,1010.0,19.04,95.5,95.5,33.1,0.0
,19.55,1280,10.72,9.8,12.0,19.67,1240,36.8,690.0,1020.0,19.40,94.0,94.0,36.8,0.0
,19.92,1200,10.81,11.4,11.3,20.06,1080,43.6,870.0,1040.0,19.79,94.0,94.0,37.6,0.0
,20.31,1120,13.50,13.3,2.3,20.43,1240,49.6,930.0,1050.0,20.18,94.7,94.7,45.1,0.0
,20.70,1280,16.11,16.1,3.0,20.82,1320,56.4,980.0,1090.0,20.58,94.0,94.0,51.1,0.0
,21.09,1400,18.31,16.9,1.5,21.21,1400,58.6,1010.0,1130.0,20.95,91.7,91.7,57.1,0.0
,21.46,1520,22.36,18.4,-2.3,21.60,1560,63.2,1000.0,1170.0,21.34,88.7,88.7,61.7,0.0
,21.85,1680,25.00,19.2,-1.5,21.98,1720,66.2,970.0,1210.0,21.73,89.5,89.5,63.9,0.0
,22.25,1840,26.89,20.0,2.3,22.37,1880,66.9,970.0,1230.0,22.12,89.5,89.5,67.7,0.0
,22.64,2000,29.81,20.4,7.5,22.76,2080,65.4,970.0,1250.0,22.50,88.0,88.0,66.9,0.0
,23.01,2200,31.14,20.4,9.8,23.15,2240,65.4,950.0,1260.0,22.89,88.7,88.7,65.4,0.0
,23.40,2360,33.33,20.4,9.8,23.53,2400,63.9,930.0,1270.0,23.28,88.0,88.0,65.4,0.0
,23.79,2520,33.94,20.4,10.5,23.92,2600,68.4,1130.0,1250.0,23.67,87.2,87.2,63.9,0.0
,24.20,2760,57.28,94.1,3.8,24.32,2840,88.7,1200.0,1350.0,24.04,88.0,88.0,82.0,0.8
,24.57,3000,61.36,91.0,4.5,24.72,3080,88.7,1210.0,1350.0,24.45,89.5,89.5,85.7,0.8
,24.96,3240,64.50,52.5,5.3,25.09,3320,86.5,1190.0,1330.0,24.84,90.2,90.2,90.2,0.8
,25.35,3480,64.64,49.0,6.0,25.48,3560,88.0,1210.0,1310.0,25.23,89.5,89.5,91.0,0.8
,25.75,3720,73.42,94.9,6.8,25.87,3800,88.0,1230.0,1320.0,25.60,91.0,91.0,90.2,0.8
,26.12,3960,74.03,93.3,6.8,26.26,4080,88.7,1250.0,1310.0,26.00,92.5,92.5,87.2,0.8
,26.52,4200,80.17,96.9,9.0,26.64,4320,88.7,1260.0,1280.0,26.38,93.2,93.2,88.7,0.8
,26.90,4480,85.11,99.6,9.0,27.03,4520,90.2,1240.0,1270.0,26.78,94.0,94.0,88.7,0.8
,27.30,4720,93.44,99.6,8.3,27.42,4760,91.0,1260.0,1260.0,27.15,94.0,94.0,91.7,0.8
,27.67,4920,95.56,99.6,8.3,27.81,5000,90.2,1270.0,1250.0,27.55,97.0,97.0,91.7,0.8
,28.06,5160,100.03,99.6,8.3,28.18,5200,89.5,1230.0,1250.0,27.93,97.7,97.7,90.2,1.6
,28.45,5360,105.94,98.4,8.3,28.58,5440,94.7,860.0,1260.0,28.33,94.0,94.0,89.5,1.6
,28.84,5160,9.08,10.2,4.5,28.96,4920,15.0,330.0,1210.0,28.70,91.0,91.0,61.7,0.0
,29.21,4440,18.36,15.3,30.0,29.36,3960,44.4,860.0,1080.0,29.09,96.2,96.2,16.5,0.0
,29.60,3920,67.03,36.5,10.5,29.73,4000,78.9,1210.0,1240.0,29.48,90.2,90.2,57.1,0.8
,30.00,4080,83.58,91.8,8.3,30.12,4080,91.0,1220.0,1390.0,29.87,91.0,91.0,88.0,0.8
,30.39,4200,78.92,69.8,8.3,30.51,4200,83.5,1200.0,1340.0,30.25,89.5,89.5,87.2,0.8
,30.76,4320,76.47,94.9,9.0,30.90,4360,88.7,1200.0,1280.0,30.64,89.5,89.5,87.2,0.8
,31.15,4440,80.75,94.9,9.0,31.28,4480,86.5,1210.0,1290.0,31.03,90.2,90.2,87.2,0.8
,31.54,4560,87.89,96.5,9.0,31.67,4600,90.2,1210.0,1270.0,31.42,91.0,91.0,87.2,0.8
,31.93,4640,88.36,99.6,9.0,32.06,4680,88.7,1220.0,1270.0,31.79,91.7,91.7,91.0,0.8
,32.31,4760,91.72,98.0,9.0,32.45,4800,90.2,1230.0,1260.0,32.18,93.2,93.2,89.5,0.8
,32.70,4880,94.97,97.6,9.0,32.82,4920,90.2,1240.0,1250.0,32.58,94.7,94.7,86.5,0.8
,33.09,5000,96.19,95.7,8.3,33.22,5000,88.0,1050.0,1270.0,32.97,95.5,95.5,89.5,0.8
,33.48,5000,29.83,18.4,16.5,33.60,5040,21.1,350.0,1260.0,33.34,95.5,95.5,76.7,0.8
,33.86,4600,16.58,12.9,1.5,34.00,4320,16.5,330.0,1100.0,33.73,94.7,94.7,15.8,0.0
,34.25,3560,16.25,11.0,-4.5,34.37,3720,15.8,330.0,1080.0,34.12,89.5,89.5,17.3,0.0
,34.66,3600,17.00,11.0,-3.8,34.78,3560,18.8,330.0,1100.0,34.52,87.2,87.2,16.5,0.0
,35.05,3480,14.64,10.2,-5.3,35.17,3440,18.0,330.0,1100.0,34.91,86.5,86.5,18.8,0.0
,35.42,3360,12.83,9.4,-4.5,35.56,3320,17.3,330.0,1100.0,35.29,86.5,86.5,18.0,0.0
,35.81,3280,11.78,9.0,-3.8,35.93,3240,16.5,320.0,1100.0,35.68,86.5,86.5,17.3,0.0
,36.20,3160,10.86,8.6,-3.8,36.32,3120,16.5,320.0,1090.0,36.07,86.5,86.5,16.5,0.0
,36.59,3040,10.83,8.6,-3.8,36.72,2960,16.5,320.0,1090.0,36.45,86.5,86.5,16.5,0.0
,36.96,2920,10.31,8.2,-4.5,37.11,2880,16.5,320.0,1080.0,36.84,85.7,85.7,16.5,0.0
,37.35,2800,10.03,7.8,-4.5,37.48,2760,16.5,310.0,1080.0,37.23,85.7,85.7,16.5,0.0
